Origin,Destination,Car Travel Time (min),Public Transport Travel Time (min)
E02000127,E02000128,6.7,16.6
E02000127,E02000187,54.8,66.7
E02000127,E02000218,22.7,60.2
E02000127,E02000344,8.4,26.1
E02000127,E02000470,39.4,116.9
E02000127,E02002988,172.6,199.1
E02000127,E02002989,172.6,210.5
E02000127,E02002990,172.3,192.5
E02000127,E02002991,179.1,178.2
E02000127,E02002992,175.4,203.1
E02000127,E02003719,89.8,164.4
E02000127,E02003720,86.4,155.6
E02000127,E02003721,90.5,150.1
E02000128,E02000127,5.3,13.8
E02000128,E02000187,57.6,74.6
E02000128,E02000218,22.0,61.4
E02000128,E02000344,3.8,18.4
E02000128,E02000470,35.8,122.7
E02000128,E02002988,169.0,207.9
E02000128,E02002989,169.0,220.2
E02000128,E02002990,168.7,200.3
E02000128,E02002991,175.5,186.0
E02000128,E02002992,171.8,212.2
E02000128,E02003719,89.5,172.2
E02000128,E02003720,86.0,163.4
E02000128,E02003721,90.1,154.8
E02000187,E02000127,60.6,68.2
E02000187,E02000128,62.6,93.7
E02000187,E02000218,66.7,72.0
E02000187,E02000344,62.8,72.1
E02000187,E02000470,62.3,61.5
E02000187,E02002988,149.0,150.0
E02000187,E02002989,148.9,161.0
E02000187,E02002990,148.7,142.4
E02000187,E02002991,155.5,126.1
E02000187,E02002992,151.8,152.3
E02000187,E02003719,96.3,102.5
E02000187,E02003720,92.9,118.9
E02000187,E02003721,97.0,95.8
E02000218,E02000127,23.6,59.3
E02000218,E02000128,22.5,56.0
E02000218,E02000187,66.4,57.9
E02000218,E02000344,25.6,64.9
E02000218,E02000470,51.5,96.6
E02000218,E02002988,165.5,200.8
E02000218,E02002989,165.5,212.2
E02000218,E02002990,165.2,194.2
E02000218,E02002991,172.0,179.9
E02000218,E02002992,168.3,204.8
E02000218,E02003719,105.2,192.2
E02000218,E02003720,101.8,182.0
E02000218,E02003721,105.9,169.6
E02000344,E02000127,6.7,23.6
E02000344,E02000128,3.7,19.1
E02000344,E02000187,56.1,71.3
E02000344,E02000218,24.6,73.6
E02000344,E02000470,36.5,106.3
E02000344,E02002988,169.8,195.6
E02000344,E02002989,169.8,206.9
E02000344,E02002990,169.5,188.9
E02000344,E02002991,176.3,174.7
E02000344,E02002992,172.6,199.5
E02000344,E02003719,91.2,167.2
E02000344,E02003720,87.7,171.6
E02000344,E02003721,91.8,160.5
E02000470,E02000127,39.1,107.2
E02000470,E02000128,35.9,112.5
E02000470,E02000187,69.1,61.5
E02000470,E02000218,50.5,105.8
E02000470,E02000344,37.4,100.0
E02000470,E02002988,166.2,171.4
E02000470,E02002989,166.2,182.4
E02000470,E02002990,166.0,163.8
E02000470,E02002991,172.8,147.6
E02000470,E02002992,169.0,173.7
E02000470,E02003719,66.0,185.9
E02000470,E02003720,62.5,175.7
E02000470,E02003721,66.6,170.3
E02002988,E02000127,171.4,184.6
E02002988,E02000128,168.2,189.9
E02002988,E02000187,148.6,143.7
E02002988,E02000218,165.9,194.2
E02002988,E02000344,169.7,189.3
E02002988,E02000470,162.3,167.7
E02002988,E02002989,13.7,48.2
E02002988,E02002990,4.8,12.0
E02002988,E02002991,11.6,16.2
E02002988,E02002992,13.8,40.6
E02002988,E02003719,189.5,228.6
E02002988,E02003720,186.1,236.5
E02002988,E02003721,190.2,221.9
E02002989,E02000127,174.0,206.1
E02002989,E02000128,170.8,210.9
E02002989,E02000187,151.2,168.2
E02002989,E02000218,168.5,210.7
E02002989,E02000344,172.3,210.8
E02002989,E02000470,164.9,189.2
E02002989,E02002988,12.7,51.4
E02002989,E02002990,10.0,42.8
E02002989,E02002991,14.1,18.8
E02002989,E02002992,4.8,22.9
E02002989,E02003719,192.2,260.8
E02002989,E02003720,188.7,252.0
E02002989,E02003721,192.8,265.3
E02002990,E02000127,172.1,176.5
E02002990,E02000128,168.9,181.8
E02002990,E02000187,149.3,131.1
E02002990,E02000218,166.6,180.1
E02002990,E02000344,170.4,181.2
E02002990,E02000470,163.0,159.6
E02002990,E02002988,3.6,14.7
E02002990,E02002989,11.3,51.2
E02002990,E02002991,8.1,6.7
E02002990,E02002992,11.4,37.7
E02002990,E02003719,190.2,231.2
E02002990,E02003720,186.8,222.4
E02002990,E02003721,190.9,235.7
E02002991,E02000127,178.8,168.1
E02002991,E02000128,175.7,173.4
E02002991,E02000187,156.0,122.7
E02002991,E02000218,173.3,171.7
E02002991,E02000344,177.1,172.8
E02002991,E02000470,169.7,151.2
E02002991,E02002988,10.3,17.0
E02002991,E02002989,13.7,29.1
E02002991,E02002990,7.6,12.7
E02002991,E02002992,11.2,22.1
E02002991,E02003719,197.0,222.8
E02002991,E02003720,193.5,214.0
E02002991,E02003721,197.6,227.3
E02002992,E02000127,176.4,192.9
E02002992,E02000128,173.2,198.2
E02002992,E02000187,153.6,151.9
E02002992,E02000218,170.9,202.4
E02002992,E02000344,174.7,197.6
E02002992,E02000470,167.3,175.9
E02002992,E02002988,12.9,39.3
E02002992,E02002989,4.6,20.4
E02002992,E02002990,10.2,33.2
E02002992,E02002991,11.9,22.2
E02002992,E02003719,194.5,236.8
E02002992,E02003720,191.1,244.8
E02002992,E02003721,195.2,230.1
E02003719,E02000127,90.1,181.8
E02003719,E02000128,86.9,189.8
E02003719,E02000187,100.7,107.9
E02003719,E02000218,102.1,174.6
E02003719,E02000344,89.0,186.7
E02003719,E02000470,62.2,176.1
E02003719,E02002988,192.2,259.3
E02003719,E02002989,192.1,269.6
E02003719,E02002990,191.9,251.7
E02003719,E02002991,198.7,238.4
E02003719,E02002992,194.9,262.3
E02003719,E02003720,6.5,14.9
E02003719,E02003721,8.0,25.9
E02003720,E02000127,86.7,173.5
E02003720,E02000128,84.1,181.5
E02003720,E02000187,97.8,105.5
E02003720,E02000218,98.1,166.3
E02003720,E02000344,85.0,178.4
E02003720,E02000470,58.8,167.8
E02003720,E02002988,188.7,251.0
E02003720,E02002989,188.7,261.4
E02003720,E02002990,188.5,243.4
E02003720,E02002991,195.2,230.1
E02003720,E02002992,191.5,254.0
E02003720,E02003719,5.9,16.6
E02003720,E02003721,7.2,23.1
E02003721,E02000127,90.1,162.4
E02003721,E02000128,86.9,166.9
E02003721,E02000187,101.2,104.5
E02003721,E02000218,102.1,165.2
E02003721,E02000344,88.4,166.3
E02003721,E02000470,62.8,158.9
E02003721,E02002988,192.2,249.9
E02003721,E02002989,192.1,260.3
E02003721,E02002990,191.9,242.3
E02003721,E02002991,198.7,229.1
E02003721,E02002992,194.9,252.9
E02003721,E02003719,7.6,23.8
E02003721,E02003720,7.8,29.6
